00_NS;k8s-dashboard;RoleBinding;1;1;EQUAL
00_NS;k8s-dashboard;Secret;6;6;EQUAL
00_NS;k8s-dashboard;Service;3;3;EQUAL
00_NS;k8s-dashboard;ServiceAccount;2;2;EQUAL
00_NS;k8s-dashboard;VirtualService;1;1;EQUAL
00_NS;knative-serving;KnativeServing;1;1;EQUAL
00_NS;kube-node-lease;ConfigMap;2;2;EQUAL
00_NS;kube-node-lease;Lease;7;7;EQUAL
00_NS;kube-node-lease;Secret;1;1;EQUAL
00_NS;kube-node-lease;ServiceAccount;1;1;EQUAL
00_NS;kube-public;ClientConfig;1;1;EQUAL
00_NS;kube-public;ConfigMap;2;2;EQUAL
00_NS;kube-public;Role;1;1;EQUAL
00_NS;kube-public;RoleBinding;1;1;EQUAL
00_NS;kube-public;Secret;1;1;EQUAL
00_NS;kube-public;ServiceAccount;1;1;EQUAL
00_NS;kube-system;Application;1;1;EQUAL
00_NS;kube-system;ConfigMap;33;33;EQUAL
00_NS;kube-system;ControllerRevision;21;21;EQUAL
00_NS;kube-system;DaemonSet;5;5;EQUAL
00_NS;kube-system;Deployment;15;15;EQUAL
00_NS;kube-system;Endpoints;15;15;EQUAL
00_NS;kube-system;EndpointSlice;11;11;EQUAL
00_NS;kube-system;Lease;2;2;EQUAL
00_NS;kube-system;Monitoring;1;1;EQUAL
00_NS;kube-system;NetworkPolicy;2;2;EQUAL
00_NS;kube-system;PersistentVolumeClaim;8;8;EQUAL
00_NS;kube-system;Pod;46;46;EQUAL
00_NS;kube-system;PodDisruptionBudget;3;3;EQUAL
00_NS;kube-system;PodMetrics;46;46;EQUAL
00_NS;kube-system;Role;18;18;EQUAL
00_NS;kube-system;RoleBinding;20;20;EQUAL
00_NS;kube-system;Secret;184;184;EQUAL
00_NS;kube-system;Service;12;12;EQUAL
00_NS;kube-system;ServiceAccount;55;55;EQUAL
00_NS;kube-system;Stackdriver;1;1;EQUAL
00_NS;kube-system;StatefulSet;2;2;EQUAL
00_NS;monitoring;Alertmanager;2;2;EQUAL
00_NS;monitoring;ConfigMap;32;32;EQUAL
00_NS;monitoring;ControllerRevision;6;6;EQUAL
00_NS;monitoring;DaemonSet;1;1;EQUAL
00_NS;monitoring;Deployment;4;4;EQUAL
00_NS;monitoring;Endpoints;13;13;EQUAL
00_NS;monitoring;EndpointSlice;13;13;EQUAL
00_NS;monitoring;PersistentVolumeClaim;4;4;EQUAL
00_NS;monitoring;Pod;19;19;EQUAL
00_NS;monitoring;PodMetrics;19;19;EQUAL
00_NS;monitoring;Prometheus;2;2;EQUAL
00_NS;monitoring;PrometheusRule;1;1;EQUAL
00_NS;monitoring;Role;3;3;EQUAL
00_NS;monitoring;RoleBinding;3;3;EQUAL
00_NS;monitoring;Secret;17;17;EQUAL
00_NS;monitoring;Service;13;13;EQUAL
00_NS;monitoring;ServiceAccount;8;8;EQUAL
00_NS;monitoring;ServiceMonitor;11;11;EQUAL
00_NS;monitoring;StatefulSet;4;4;EQUAL
00_NS;nfs-volume-provisioner;ConfigMap;2;2;EQUAL
00_NS;nfs-volume-provisioner;Deployment;1;1;EQUAL
00_NS;nfs-volume-provisioner;Role;1;1;EQUAL
00_NS;nfs-volume-provisioner;RoleBinding;1;1;EQUAL
00_NS;nfs-volume-provisioner;Secret;5;5;EQUAL
00_NS;nfs-volume-provisioner;ServiceAccount;3;3;EQUAL
00_NS;pre-prod;ConfigMap;2;2;EQUAL
00_NS;pre-prod;Role;1;1;EQUAL
00_NS;pre-prod;RoleBinding;1;1;EQUAL
00_NS;pre-prod;Secret;1;1;EQUAL
00_NS;pre-prod;ServiceAccount;1;1;EQUAL
00_NS;prod-anthos-consent-bn;ConfigMap;2;2;EQUAL
00_NS;prod-anthos-consent-bn;Secret;1;1;EQUAL
00_NS;prod-anthos-consent-bn;ServiceAccount;1;1;EQUAL
00_NS;prod-anthos-trueidsso-bn;ConfigMap;5;5;EQUAL
00_NS;prod-anthos-trueidsso-bn;Deployment;3;3;EQUAL
00_NS;prod-anthos-trueidsso-bn;DestinationRule;3;3;EQUAL
00_NS;prod-anthos-trueidsso-bn;Endpoints;3;3;EQUAL
00_NS;prod-anthos-trueidsso-bn;EndpointSlice;3;3;EQUAL
00_NS;prod-anthos-trueidsso-bn;Gateway;1;1;EQUAL
00_NS;prod-anthos-trueidsso-bn;Secret;4;4;EQUAL
00_NS;prod-anthos-trueidsso-bn;Service;3;3;EQUAL
00_NS;prod-anthos-trueidsso-bn;ServiceAccount;1;1;EQUAL
00_NS;prod-anthos-trueidsso-bn;VirtualService;3;3;EQUAL
00_NS;prod-anthos-trueidsso-fn;ConfigMap;3;3;EQUAL
00_NS;prod-anthos-trueidsso-fn;Deployment;1;1;EQUAL
00_NS;prod-anthos-trueidsso-fn;DestinationRule;1;1;EQUAL
00_NS;prod-anthos-trueidsso-fn;Endpoints;1;1;EQUAL
00_NS;prod-anthos-trueidsso-fn;EndpointSlice;1;1;EQUAL
00_NS;prod-anthos-trueidsso-fn;Gateway;1;1;EQUAL
00_NS;prod-anthos-trueidsso-fn;Secret;2;2;EQUAL
00_NS;prod-anthos-trueidsso-fn;Service;1;1;EQUAL
00_NS;prod-anthos-trueidsso-fn;ServiceAccount;1;1;EQUAL
00_NS;prod-anthos-trueidsso-fn;VirtualService;1;1;EQUAL
00_NS;sandbox-test;ConfigMap;2;2;EQUAL
00_NS;sandbox-test;Secret;1;1;EQUAL
